Time                        Bx(nT)         By(nT)         Bz(nT)
          589.55796          0.9251         1.2851        10.7682
          592.56591          0.6257         1.4357        10.8219
          595.57386          0.8954         1.5134         9.7127
          598.58181          1.1841         1.2714         9.7611
          601.58975          0.6657         0.6475         9.3632
          604.59770          0.1613         0.9019        10.6752
          607.60565         -0.3705         0.7578        10.0589
          610.61361         -0.8907         1.2196         9.8406
          613.62154         -0.9318         1.8217         8.3566
          616.62951         -1.1320         1.9002         8.3154
          619.63745         -0.3146         1.3044         8.4479
          622.64540          0.6530         1.1245         9.1553
          625.65335          1.3755         1.9302        10.0505
          628.66130          0.9918         0.6754         9.2461
          631.66924          1.0928         0.7205         9.1678
          634.67719          0.7658         0.5841         8.9655
          637.68514          1.4084         0.8746         9.7369
          640.69308          0.5204         1.7635         8.6097
          643.70103         -0.0443         1.3872         8.7459
          646.70900          0.1471         1.9314         9.7772
          649.71694          0.1779         1.1380        10.0818
          652.72489          0.0979         0.2173         8.9006
          655.73284          0.5857         0.5758         8.9993
          658.74079          0.2616        -0.1869         8.9856
          661.74873          0.2769         0.6775         6.8950
          664.75668          0.3515         1.5608         8.4955
          667.76463          0.6498         0.9778        10.3813
          670.77257         -0.0007         0.1261         7.8946
          673.78052          0.7604        -0.4064         6.8951
          676.78847         -0.3099         0.2504         7.2200
          679.79642         -0.3708        -0.2519         6.6242
          682.80438          1.0665         0.4323         9.2795
          685.81233          1.3718         0.8737         9.2319
          688.82028          1.2435         1.3586         9.8057
          691.82822         -0.2003         0.7966         8.0316
          694.83617         -0.2774         1.1216         6.9074
          697.84412         -0.9502         0.9057         6.1344
          700.85207         -0.3454         2.1568         7.9273
          703.86001         -0.4425         1.9543         9.7851
          706.86796          1.1435        -0.4017         8.8977
          709.87591          1.6025        -0.4549         8.0312
          712.88385          1.5625        -0.1006         9.7289
          715.89182          1.8555        -1.0344        10.3591
          718.89977          1.3383        -0.2954         8.3779
          721.90771          1.2418        -0.2446         9.0187
          724.91566         -0.5237         1.7975         9.5149
          727.92361          0.2775         2.1881         8.7585
          730.93156         -1.0309         2.3241         9.3658
          733.93950         -0.7029         1.3001         8.8235
          736.94745         -0.2617         1.2673         7.9549
          739.95540          1.6953         0.4131         8.0963
          742.96334          0.3729         1.3057         8.8432
          745.97129          0.2559         1.1988         7.8985
          748.97924          0.1788         0.6903         7.8846
          751.98720          1.0296         1.4903        10.1312
          754.99515          0.9879         1.7549         8.1009
          758.00310          0.7050         1.2014         5.9990
          761.01105          0.1000         0.9402         7.3734
          764.01899          1.0165         0.9438         7.2579
          767.02694          1.8798         1.0417        10.1466
          770.03489          0.6094        -0.1986         8.7514
          773.04283          0.4748        -0.3329         7.6890
          776.05078          0.5466        -0.1239         7.4397
          779.05873          0.5091         0.2099         7.6158
          782.06669         -0.1217        -0.0421         7.6713
          785.07464         -0.1347         0.1003         7.6212
          788.08259          0.4282         1.0071         9.4880
          791.09054          0.8029         2.1282        11.3647
          794.09848         -0.3628         1.4308         9.2428
          797.10643          0.9496         1.3155         8.1283
          800.11438         -0.2819         1.5510         9.0559
          803.12232          0.3254         0.9639         7.7907
          806.13027          0.2523         1.0653         8.4538
          809.13822         -0.3342         0.9026         8.0986
          812.14617         -0.7644         1.3744         8.7390
          815.15411         -0.4511         1.0886         8.6063
          818.16208         -0.3932         2.0481         9.5129
          821.17003         -0.8565         1.9691        10.9247
          824.17797         -0.2350         0.8837         9.8569
          827.18592          0.1349         1.3623         9.2258
          830.19387          0.0818         2.2033        10.0434
          833.20182          0.7055         2.5858         8.7258
          836.20976          0.7917         2.6270         9.8785
          839.21771          0.7808         2.8180         9.6792
          842.22566          0.6035         1.7222        10.4243
          845.23360          0.7707         1.3605        10.7291
          848.24157          1.3226         1.3877        10.6504
          851.24950          0.0361         2.0116        12.1914
          854.25746         -0.8361         0.7780        10.0316
          857.26541          0.3665         1.7406         9.3889
          860.27336          1.1415         0.6447         8.4120
          863.28131          1.2389         1.1223         5.9055
          866.28925          2.1771         0.9727        10.5494
          869.29720         -0.2440         1.0212         7.1655
          872.30515          0.3429         1.2900         6.4320
          875.31309          0.7016         0.6982         6.1101
          878.32104         -0.4219         0.7327         6.5493
          881.32899          0.0639         1.0794         6.5489
          884.33695          0.8659         0.9208         7.4894
          887.34488          1.1876         0.7945         7.1812
          890.35285          1.2770         1.0213         6.8596
          893.36080          0.9435         0.7609         8.1883
          896.36874          0.7006         0.6450         7.9907
          899.37669          0.8884         0.7412         6.8847
          902.38464          0.5153         0.5758         7.3611
          905.39258          0.2292         0.5296         7.3323
          908.40053         -0.1721         1.0098         6.6896
          911.40848         -1.1344         2.3752         7.1583
          914.41645         -1.2875         3.4990         9.2688
          917.42437         -1.1170         2.8213         8.5220
          920.43234         -0.7866         1.8311         6.4362
          923.44027         -0.0751         3.4238         8.4853
          926.44823          0.3118         2.3050         8.7306
          929.45618          1.3535         2.8755         9.2879
          932.46413          1.4358         2.6072        10.1996
          935.47208          1.7952         2.0148         8.8716
          938.48002          0.3318         1.3400         7.2211
          941.48797          0.6130         1.5360         7.1362
          944.49592          1.3100         0.3223         6.6131
          947.50386          1.7732         0.9549         8.8555
          950.51183          1.1753         0.8504         7.6027
          953.51976          0.5791         0.6625         6.3630
          956.52772          0.4165         0.6752         6.6715
          959.53565          0.8300         1.4106         8.9530
          962.54362          0.7370         1.1598         8.0717
          965.55157          0.4950         1.1932         7.9455
          968.55951          0.4402         0.8360         9.0361
          971.56746          0.0835         1.0578         7.1018
          974.57541          0.1733         2.4761         7.4682
          977.58335         -0.1891         2.0171        10.0934
          980.59130         -0.7312         1.7784         9.9376
          983.59925         -1.1411         1.1774         6.6614
          986.60721         -0.9539         2.7197         7.9799
          989.61514         -1.6201         3.5241         8.9395
          992.62311         -1.5426         3.6133         7.2029
          995.63104         -1.1429         2.5661         6.6750
          998.63900          0.0059         2.7028         6.1173
          1001.6470         -0.5100         2.2445         7.6019
          1004.6549         -0.9727         2.3105        10.7623
          1007.6628         -1.9010         1.5649         7.6523
          1010.6708         -0.8220         1.7558         5.7755
          1013.6787         -0.5705         3.2852         8.6840
          1016.6867         -1.0827         2.2953         8.5782
          1019.6946         -1.2445         2.4402         7.0307
          1022.7026         -1.3531         2.7789         6.4850
          1025.7105         -1.2603         3.3015         7.2038
          1028.7185         -0.7434         2.9556         7.4393
          1031.7264          0.0178         1.8568         8.4103
          1034.7344         -1.8428         2.6169         9.2198
          1037.7423         -2.5668         2.7849         7.1669
          1040.7503         -0.8181         2.1369         7.7282
          1043.7582         -0.3052         2.8751        10.2801
          1046.7662         -1.1595         2.7775         9.4064
          1049.7741         -0.5038         2.3383         6.6638
          1052.7821          1.5102         0.3491         7.2425
          1055.7900          1.1994         1.0690         7.8848
          1058.7980          0.7221         1.0754         7.6961
          1061.8059         -0.5857         0.8613         7.0766
          1064.8139         -1.3688         2.0000         7.7263
          1067.8218         -0.5246         2.9269         8.1879
          1070.8298         -0.6928         2.8372         9.7574
          1073.8377         -1.3787         1.9123         8.7164
          1076.8457         -0.9287         1.8810         6.7782
          1079.8536         -0.3045         1.4228         7.2440
          1082.8616          1.0465         1.2140         8.4921
          1085.8695          0.7488         1.7855         7.9777
          1088.8775          0.1925         1.8977         7.2496
          1091.8854         -0.4592         1.4136         6.8925
          1094.8934         -0.9735         0.7038         7.4371
          1097.9013         -1.2469         0.7170         7.3698
          1100.9093         -1.3027         3.1522         8.5186
          1103.9172         -1.0909         3.0755         8.9300
          1106.9252         -0.6270         2.3473         8.8817
          1109.9331          0.0959         0.8333         7.5689
          1112.9411          0.4255         1.1909         7.0545
          1115.9490         -0.4454         2.6741         8.0053
          1118.9569         -0.8411         1.4963         7.0363
          1121.9649         -0.9928         1.7806         7.1951
          1124.9728         -0.8073         2.9651         8.1286
          1127.9808         -0.6558         3.5100         9.2363
          1130.9888         -0.7718         1.3341         7.9721
          1133.9967         -0.6045         1.6006         9.0390
          1137.0046          0.1003         2.7963         8.9891
          1140.0126         -0.6450         1.4903         8.4865
          1143.0205         -0.6841         1.2594         8.5248
          1146.0285         -0.9743         1.5147         8.6265
          1149.0364         -1.3790         2.0962         8.1373
          1152.0444         -0.9193         2.2054         8.7387
          1155.0523          0.5502         2.8882         9.9123
          1158.0603          0.4200         1.9990         8.5997
          1161.0682          0.2192         1.8010         8.8500
          1164.0762         -0.1724         1.5332         7.6261
          1167.0841          0.4341         1.5321         7.8476
          1170.0921          0.2432         1.3574         9.4966
          1173.1000          0.3013         0.8465        10.3737
          1176.1080          0.9135         0.8104        11.0276
          1179.1159          0.6806         0.9487         8.7427
          1182.1239         -0.5076         1.0277         7.4085
          1185.1318         -0.5462         1.5763         8.0944
          1188.1398          0.0682         1.1602         8.5282
          1191.1477          1.1874         1.4056         9.6902
          1194.1557          0.4113         1.4382         9.2571
          1197.1636         -0.2410         0.6871         7.8621
          1200.1716         -0.5869        -0.0546         6.6222
          1203.1795         -0.0063         0.0160         6.9720
          1206.1875          0.5340         0.5105         7.3802
          1209.1954          0.7616         0.6781         8.2368
          1212.2034         -0.1214         1.6532         9.1966
