Time                      Vx(km/s)         Vy(km/s)       Vz(km/s)       Density(cm^-3)Temp(eV)
          394.04129       -253.9377       116.7009       -26.7322         9.8106        98.4644
          397.04923       -256.3788       117.7433       -27.1862         9.8169        95.6904
          400.05720       -261.3393       118.6537       -28.5282         9.4501        98.8403
          403.06513       -262.2396       119.6029       -32.2769         9.2790        96.2692
          406.07309       -258.7912       117.7135       -31.9805         9.5707        94.7112
          409.08104       -257.7446       121.1773       -30.7302         9.6732       100.4035
          412.08899       -258.9657       122.8733       -30.0059         9.6277       101.5924
          415.09693       -257.2437       122.5727       -31.8886         9.5354        98.0730
          418.10488       -257.9688       121.1424       -31.4023         9.4847        99.0644
          421.11283       -256.9099       119.2261       -31.9332         9.4990        99.1901
          424.12078       -258.1703       118.2358       -33.2294         9.6172        98.8132
          427.12872       -258.6437       118.2742       -34.3579         9.8095        97.4417
          430.13667       -258.4573       118.0728       -36.1524        10.0568        96.4935
          433.14462       -259.4542       117.7669       -35.7186        10.0502        95.9822
          436.15258       -258.7517       113.3936       -34.8173        10.0981        95.6472
          439.16051       -254.5415       106.8507       -33.8175        10.1208        96.7056
          442.16848       -252.7730       104.1525       -32.0225        10.3940        91.7873
          445.17642       -253.1281       107.1159       -30.8826         9.9407        89.7753
          448.18437       -254.0193       111.9262       -31.1629         9.3882        92.7456
          451.19232       -252.6706       117.3662       -31.1575         9.1832        92.6630
          454.20027       -251.0326       123.3008       -28.3201         8.9902        92.6608
          457.20821       -248.0001       125.6199       -26.0188         8.9772        95.5593
          460.21616       -244.8536       125.5527       -25.2257         9.2804        99.3451
          463.22411       -245.8610       124.2447       -27.8494         9.4773       100.5583
          466.23207       -247.2442       122.4392       -31.5775         9.8218        97.0705
          469.24000       -250.7239       122.7919       -30.2351         9.7952        97.2630
          472.24797       -255.5480       121.5306       -25.0948         9.8372       101.6096
          475.25590       -259.9434       120.6917       -24.9867        10.0690       103.4655
          478.26386       -257.4213       120.9960       -26.8061        10.4758        98.1763
          481.27181       -254.6119       113.1056       -31.2089        10.3264        94.9163
          484.27976       -254.7735       109.1998       -35.3506        10.4338        92.0818
          487.28770       -257.0026       109.8748       -32.5128        10.4090        92.4605
          490.29565       -254.8746       107.4847       -30.5728        10.3520        94.2294
          493.30360       -250.9689       109.1577       -32.0860        10.0537        95.6417
          496.31155       -245.4612       111.0274       -30.8027         9.5553        97.4793
          499.31949       -243.7251       108.0049       -30.9303         9.8354        92.5427
          502.32746       -243.7861       107.2206       -28.7274         9.7218        93.0572
          505.33539       -244.8256       111.6122       -23.7976         8.9598        98.5778
          508.34335       -247.9712       109.1005       -22.6123         8.4747       103.0926
          511.35128       -252.2183       107.5869       -26.6445         8.1722       104.8745
          514.35925       -250.4403       110.5488       -30.0218         8.3292       100.6377
          517.36719       -250.4695       109.0629       -27.8275         8.9153       100.2795
          520.37514       -254.9148       108.3924       -41.3906         9.2556        98.1689
          523.38309       -256.0686       110.9665       -55.3087         9.5521        90.2990
          526.39104       -255.4388       109.7605       -51.8783        10.2002        89.8480
          529.39898       -250.5333       112.5719       -39.8404         9.8781        98.3600
          532.40693       -239.7858       113.8291       -27.9370         9.7396       100.6297
          535.41488       -239.9542       113.3557       -34.0152         9.5064        98.6807
          538.42284       -244.8657       115.6625       -38.8621         8.4730       103.1333
          541.43077       -247.1166       117.8982       -31.4163         7.4825       114.8318
          544.43874       -252.0769       116.7240       -35.2092         7.5948       114.5819
          547.44667       -251.2810       119.6835       -39.3741         7.6007       111.8345
          550.45463       -249.8991       122.7086       -37.2650         8.1319       106.2264
