Time                         Bx(nT)         By(nT)         Bz(nT)         Btot(km/s)    Vx(km/s)        Vy(km/s)      Vz(km/s)       Vtot(km/s)      Density(cm^-3)Temp(eV)
          258.82790         -1.8161         1.3362         8.4226         8.7192       -45.6957       -59.8418        50.3993        90.6072         0.9178       803.7388
          261.83753         -1.9389         1.3854         8.2967         8.6321       -46.9130       -62.0014        48.0160        91.4343         0.9178       816.0105
          264.84716         -1.8751         1.4749         8.0296         8.3765       -46.5291       -63.4787        46.4929        91.4509         0.9178       809.6203
          267.85678         -2.2542         1.8147         7.7448         8.2678       -48.2447       -58.6100        48.6415        90.4153         0.9178       805.4179
          270.86641         -2.2858         1.4900         7.2613         7.7571       -50.6278       -55.2378        48.8119        89.5897         0.9178       791.4058
          273.87604         -2.6268         1.6914         7.3444         7.9813       -46.4695       -55.1936        50.4762        88.1939         0.8947       795.6881
          276.88566         -3.2252         1.8505         7.3086         8.2001       -41.7118       -53.2430        52.4564        86.1548         0.8827       806.7181
          279.89529         -3.6998         2.4375         7.3212         8.5574       -32.4821       -58.7270        49.4528        83.4799         0.9178       776.3979
          282.90492         -4.1422         2.3151         7.2447         8.6605       -31.6003       -59.1585        49.7440        83.8547         0.9178       761.8730
          285.91454         -4.5201         2.5209         7.3327         8.9753       -21.4562       -52.4286        52.9700        77.5917         0.9063       762.2521
          288.92417         -5.2635         2.5857         7.3561         9.4076       -14.4295       -48.5718        50.3123        71.5720         0.8887       759.5330
          291.93380         -5.5770         2.4614         7.5597         9.7114        -6.8677       -46.1880        53.8472        71.7238         0.8655       784.7059
          294.94342         -5.8382         2.1181         7.5358         9.7652        -4.4992       -39.3059        57.2059        69.5928         0.8536       806.6356
          297.95305         -6.1562         1.8373         7.5594         9.9206        -2.0109       -38.3900        53.2261        65.8041         0.8655       785.7170
          300.96268         -6.1936         1.5400         7.6060         9.9289        -0.1079       -34.5397        52.2085        62.7454         0.8304       812.4009
          303.97231         -6.3092         1.3848         7.0512         9.5626        -4.6973       -25.5023        45.7128        52.6675         0.8304       805.4163
          306.98193         -6.4132         1.1305         6.5808         9.2582        -4.2301       -15.2823        41.8125        44.8972         0.8304       794.5255
          309.99156         -6.3841         1.0910         6.6919         9.3128        -3.9784        -5.0813        40.5210        41.4339         0.8188       796.8224
          313.00119         -6.2910         0.8211         6.8471         9.3346        -3.0409         4.2259        41.6852        42.0805         0.8013       828.7634
          316.01081         -6.1353         0.5803         7.0245         9.3446        -1.4974         8.0060        43.7633        44.5335         0.7897       829.8824
          319.02044         -5.8328         0.0945         7.1398         9.2199        -1.0111         9.8623        42.1762        43.3500         0.7837       831.0847
          322.03007         -5.5179        -0.0452         7.4982         9.3098        -4.6567        13.5553        39.7369        42.5276         0.8013       821.1518
          325.03969         -5.2782        -0.0221         7.9269         9.5234        -7.8467        19.9722        36.1846        42.2216         0.8128       804.2702
          328.04932         -4.9690        -0.4956         7.9682         9.4036        -5.7767        24.2545        34.5002        42.5798         0.8188       792.2858
          331.05895         -4.5376        -0.5673         8.1645         9.3579        -1.0817        24.6791        29.4771        38.8158         0.8013       810.9803
          334.06857         -4.3443        -0.7392         8.0805         9.2041        -0.7104        27.0546        23.8217        36.6029         0.8128       812.1677
          337.07820         -3.6842        -0.8439         8.0313         8.8762        -5.6609        31.0660        18.6948        37.1209         0.8304       814.2248
          340.08783         -3.1422        -0.7983         8.0232         8.6535        -5.1535        36.0550        13.2989        38.9771         0.8304       849.7714
          343.09745         -2.9148        -0.6917         8.0426         8.5824       -12.8692        39.1095         9.8704        42.5409         0.8536       820.5302
          346.10708         -2.6287        -0.4892         8.1294         8.5578       -21.1547        41.9231         4.1981        47.4350         0.9003       791.2360
          349.11671         -2.2388        -0.5580         8.0921         8.4146       -28.5132        40.1307        -0.7080        49.3687         0.9178       796.4683
          352.12633         -1.6287        -0.1234         8.0783         8.2418       -31.9840        40.6337         0.0984        51.8149         0.9063       781.0567
          355.13596         -1.3095         0.0395         8.1039         8.2091       -35.0015        43.6127         1.6172        56.1398         0.9003       788.8929
          358.14559         -1.1537         0.2476         8.1374         8.2225       -37.5746        40.0888        -2.0344        55.0472         0.9063       796.8593
          361.15521         -0.8287         0.5552         8.0725         8.1338       -39.8059        39.7139        -1.3312        56.6035         0.8771       813.8252
          364.16484         -0.8624         1.0099         8.0529         8.1617       -44.7811        33.3523         7.5665        56.5948         0.8711       826.8308
          367.17447         -0.7751         1.4617         8.2473         8.4116       -46.1357        31.5221        11.2548        57.0639         0.8887       802.4191
          370.18410         -0.9496         1.7829         8.3077         8.5498       -48.2038        24.8355         8.8535        55.9417         0.9003       794.0529
          373.19372         -1.1529         2.0974         8.1686         8.5121       -49.2312         9.8079         9.8789        51.2378         0.9063       792.0438
          376.20335         -1.3588         2.7425         7.9884         8.5546       -44.2151         4.7094        11.6475        46.0225         0.8887       798.2719
          379.21298         -1.6596         3.1851         7.9576         8.7306       -37.8409        -1.1540        15.5695        41.6206         0.8887       802.3506
          382.22260         -1.9751         3.4594         7.8744         8.8247       -31.4223        -7.7796        19.7877        37.9513         0.8887       800.6620
          385.23223         -2.1419         3.4574         7.4366         8.4761       -34.8591       -11.5430        21.3405        42.7778         0.8887       814.9060
          388.24186         -2.2831         3.6788         7.3145         8.4999       -31.6081       -16.7753        19.5977        40.8390         0.9003       817.7644
          391.25148         -2.2252         3.7120         7.0873         8.3042       -27.4280       -18.8517        16.5017        37.5990         0.9063       805.3035
          394.26111         -2.4901         3.6267         7.0410         8.3024       -24.0326       -26.0824        13.4785        38.2554         0.9003       806.6356
          397.27074         -2.4099         3.7655         6.9945         8.3012       -17.7352       -27.2356        18.8940        37.8747         0.9178       787.3346
          400.28036         -2.7591         3.7662         7.0354         8.4435       -14.9755       -25.9707        20.6245        36.5474         0.9063       793.9650
          403.28999         -3.0173         3.7120         7.0563         8.5250       -14.4976       -34.3404        18.3560        41.8972         0.8771       807.2354
          406.29962         -3.3156         3.5252         7.0439         8.5462        -8.7582       -36.8223        21.6563        44.1373         0.8827       799.6638
          409.30924         -3.3142         3.4877         6.9993         8.4934        -4.9094       -32.4460        27.4296        42.8337         0.8947       798.2634
          412.31887         -3.6616         3.4013         6.8533         8.4820        -3.4808       -33.2508        25.9736        42.3576         0.8595       805.7119
          415.32850         -3.4924         3.0305         6.8224         8.2418        -2.6535       -31.4451        25.6756        40.8092         0.8711       812.9048
          418.33813         -3.6162         2.8303         6.5782         8.0225        -0.5925       -27.6984        26.0919        38.1319         0.8655       829.1697
          421.34775         -3.8605         3.0826         6.6244         8.2637        -3.1520       -22.6400        24.1003        33.2267         0.8420       825.8986
          424.35738         -4.1062         2.7144         6.6674         8.2875         2.9450       -15.1569        22.2988        28.7950         0.8480       805.7241
          427.36701         -3.9990         2.5913         6.6797         8.2052        14.4853        -7.2719        21.9047        27.3672         0.8420       797.3879
          430.37663         -4.2209         2.3413         6.7637         8.3093        14.5620        -6.9817        20.1732        26.0023         0.8480       782.1278
          433.38626         -4.2171         2.4156         6.7455         8.3139        14.5527        -3.6343        19.3880        25.5812         0.8304       797.6359
          436.39589         -4.3010         1.9772         6.5308         8.0660        20.0205         4.4126        18.7436        27.8013         0.8536       804.6020
          439.40551         -3.9888         1.5968         6.5769         7.8559        21.8252         8.4932        17.5464        29.4369         0.8655       789.0149
          442.41514         -3.8458         1.7087         6.7772         7.9775        26.8191        12.1232        19.5482        35.3945         0.8304       811.6691
          445.42477         -3.6839         1.5328         6.8395         7.9183        25.4148        14.9624        21.3461        37.0680         0.8188       815.9481
          448.43439         -3.9260         1.6753         6.9789         8.1808        23.2456        16.7447        20.3185        35.8804         0.8128       819.0427
          451.44402         -3.9028         1.6521         7.1114         8.2785        25.4263        14.1859        20.9730        36.5923         0.8304       815.0157
          454.45365         -3.8488         1.8065         7.1801         8.3445        21.8103        21.3728        23.3076        38.4174         0.8304       819.7039
          457.46328         -3.5063         1.6169         7.3142         8.2708        16.6917        18.2325        18.9685        31.2420         0.8304       814.8559
          460.47290         -3.5027         1.3148         7.3029         8.2055        12.4056        16.6128        16.7632        26.6713         0.8188       821.0760
          463.48253         -3.4658         1.4847         7.3803         8.2876        11.8666        16.7418        15.9101        26.0318         0.8013       828.0799
          466.49216         -3.5997         1.5324         7.4794         8.4409         6.9436        17.3424        13.7212        23.4356         0.8244       815.0368
          469.50178         -3.4672         1.3487         7.4611         8.3372         6.9236        19.9375        12.1730        24.8941         0.8480       801.1953
          472.51141         -3.3817         1.2113         7.2965         8.1328        10.1425        23.2193         8.8472        27.1993         0.8304       807.7941
          475.52104         -3.1195         1.3699         7.4962         8.2342         4.0531        24.1208         6.3946        25.3242         0.8536       805.5610
          478.53066         -2.8290         1.5442         7.7011         8.3483         2.5634        29.8516        11.3040        32.1291         0.8771       769.5037
          481.54029         -2.5983         1.2876         7.7065         8.2341         1.0410        30.6822        12.6129        33.2505         0.8595       767.0372
          484.54992         -2.5089         1.3733         7.7134         8.2266        -0.1367        33.4505        12.7636        35.9108         0.8480       785.9644
          487.55954         -2.4639         1.5061         7.8122         8.3289        -2.5895        37.6745        15.4300        40.8302         0.8420       795.1496
          490.56917         -2.2065         1.2203         7.6696         8.0735        -5.1677        35.0654        12.0560        37.6135         0.8595       775.8659
          493.57880         -2.0205         1.2823         7.4858         7.8590        -8.9481        32.2787        13.2650        36.1355         0.8595       776.6204
          496.58843         -2.1287         1.4829         7.4436         7.8828       -10.1299        30.7373        17.8307        37.0411         0.8595       784.8260
          499.59805         -2.0995         1.6760         7.5854         8.0471       -10.5764        31.0695        19.7566        38.4234         0.8595       777.6190
          502.60768         -2.2750         1.4492         7.6240         8.0871       -11.3522        30.8535        17.9865        37.9148         0.8711       766.3700
          505.61731         -2.2948         1.6486         7.6933         8.1958       -21.2606        27.1783        17.2175        38.8189         0.8655       782.5734
          508.62693         -2.9364         1.7779         7.7786         8.5023       -29.1096        28.4300        17.0788        44.3779         0.8420       786.2168
          511.63656         -3.2141         1.8013         7.9832         8.7924       -33.4033        30.1196        12.7171        46.8509         0.8595       769.4623
          514.64619         -3.1594         1.6077         8.0061         8.7558       -37.7109        25.2677        11.8094        46.9954         0.8480       786.5216
          517.65581         -3.2473         1.9492         8.1347         8.9732       -42.9296        24.2431        11.2287        50.5671         0.8536       787.6777
          520.66544         -3.1281         2.0155         8.0375         8.8572       -45.0991        25.6012         7.6358        52.5987         0.8887       772.5965
          523.67507         -2.9014         2.0859         8.0659         8.8220       -48.1868        26.9873         3.7502        55.3904         0.8887       773.4179
          526.68470         -3.1185         1.8831         8.0662         8.8507       -44.8982        27.7302         5.4500        53.3121         0.8771       782.7139
          529.69432         -3.2209         2.0700         8.1757         9.0278       -40.4395        32.7668         6.8257        52.5029         0.8595       779.9788
          532.70395         -3.3839         2.2230         8.5119         9.4257       -38.5207        33.9488         9.6693        52.3951         0.8595       786.7647
          535.71358         -3.3974         2.0774         8.5365         9.4196       -32.8692        32.5844        11.2703        47.6571         0.8827       770.8686
          538.72320         -3.3834         1.8311         8.4319         9.2681       -34.2673        33.1127        14.4513        50.0012         0.9063       745.1688
          541.73283         -3.3021         2.0092         8.4302         9.2741       -30.2022        32.8061        17.8043        48.0579         0.9003       761.8740
          544.74246         -3.3234         1.9642         8.6087         9.4346       -28.2250        30.9258        16.6435        45.1463         0.8831       773.6004
          547.75208         -3.2589         1.4967         8.6335         9.3487       -28.7156        26.2153        16.0398        42.1593         0.8304       790.6215
          550.76171         -3.2462         1.4375         8.7630         9.4548       -27.7730        23.0577        13.0413        38.4113         0.8420       776.5291
          553.77134         -3.2866         1.3766         8.8297         9.5216       -23.6352        21.8348        15.3343        35.7773         0.8711       764.2862
          556.78097         -3.1589         1.0963         8.7531         9.3700       -18.7711        19.6213        14.6009        30.8806         0.8887       762.6047
          559.79059         -2.9694         1.2322         8.5510         9.1354       -22.1603        18.3807        11.1925        31.0493         0.8771       749.3766
          562.80022         -2.9575         1.4384         8.4094         9.0296       -27.5858        19.9012        14.8551        37.4520         0.8827       749.5578
          565.80985         -2.8759         2.0423         8.6615         9.3522       -31.0357        23.8777        20.4125        44.3385         0.8947       749.2138
          568.81947         -2.8207         1.8519         8.6199         9.2568       -31.4972        22.5038        16.8579        42.3249         0.8595       769.0107
          571.82910         -2.7276         2.0032         8.6837         9.3199       -26.1777        15.2414        14.2260        33.5189         0.8595       781.0782
          574.83873         -2.7322         2.1281         8.7957         9.4530       -26.1952        15.5972        11.0948        32.4728         0.8595       783.3552
          577.84835         -2.5506         2.1681         8.7075         9.3288       -27.2502        16.7632        11.2229        33.9327         0.8595       772.2781
          580.85798         -2.3218         2.1512         8.6680         9.2278       -30.1583        19.1476        12.6483        37.9801         0.8480       783.7308
          583.86761         -2.3537         2.4714         8.6100         9.2618       -29.3552        22.6175        12.2840        39.0586         0.8420       771.0056
          586.87724         -2.2012         2.6112         8.7694         9.4110       -22.7243        21.3927        10.5583        33.0775         0.8711       747.6763
          589.88686         -2.1654         2.6038         8.7100         9.3452       -19.7082        19.9583        10.6794        30.2635         0.8771       754.2770
          592.89649         -2.0587         2.5635         8.6823         9.2840       -24.5197        18.3685        14.9830        34.1177         0.8595       760.0500
          595.90612         -2.0714         2.7616         8.6444         9.3082       -23.2886        19.5664        11.1705        32.9269         0.8595       764.0049
          598.91574         -1.8663         2.8476         8.7346         9.3747       -17.3190        20.3710         6.5427        27.6756         0.8711       763.6535
          601.92537         -1.6629         2.7889         8.7434         9.3268       -17.6555        18.4981        11.0713        27.9652         0.9003       744.3253
          604.93500         -1.5632         2.5179         8.7924         9.2785       -21.8705        16.8419        12.2983        30.3265         0.9178       732.0805
          607.94462         -1.5376         2.7812         8.9144         9.4639       -26.4363        15.7948         9.5631        32.3852         0.8947       749.0369
          610.95425         -1.3812         2.8513         9.0934         9.6295       -22.6033        13.4345         8.2809        27.9432         0.8711       758.9138
          613.96388         -1.4761         2.3731         9.0601         9.4814       -19.3931        11.3820        11.4397        25.6400         0.8771       749.6422
          616.97351         -1.5374         2.3948         9.1806         9.6116       -18.6779         7.6511        10.0061        22.7503         0.8711       763.0342
          619.98313         -1.4882         2.4333         9.2871         9.7153       -18.5648        11.0915         9.6763        23.7439         0.8771       752.1091
          622.99276         -1.4474         2.3288         9.4194         9.8104       -24.3678         9.0835        11.6873        28.8185         0.8480       776.5474
          626.00239         -1.5336         2.2428         9.3590         9.7454       -23.1882         2.8243         9.6497        25.4228         0.8420       783.7482
          629.01201         -1.5664         2.4850         9.4491         9.8952       -22.7260        -0.7140         7.2632        24.0500         0.8595       764.2096
          632.02164         -1.9501         2.5995         9.4671        10.0093       -23.8368        -3.1798         9.4079        25.8381         0.8595       768.9961
          635.03127         -1.9516         2.4829         9.4516         9.9652       -22.8080        -2.0061         7.0221        24.0476         0.8827       753.8119
          638.04089         -2.4379         2.6347         9.3896        10.0523       -24.6528        -4.1069         3.3958        25.3333         0.8947       741.4788
          641.05052         -2.7714         2.8988         9.3023        10.1300       -29.0808        -7.0283         0.0422        30.0592         0.8827       743.7933
          644.06015         -3.1004         3.0437         9.2113        10.1845       -34.3681        -6.6746        -5.1242        35.4163         0.8831       744.9087
          647.06978         -3.3268         2.8248         9.1126        10.1038       -40.6109        -9.5233        -9.2495        42.8971         0.8420       771.8404
          650.07940         -3.2754         2.7706         8.9242         9.9018       -40.3081       -10.3868       -10.2125        43.0757         0.8595       761.4946
          653.08903         -3.1572         3.2955         9.0166        10.1058       -37.8557        -8.5222        -8.0110        39.8863         0.8480       768.5314
          656.09866         -3.2267         3.0638         9.0183        10.0562       -38.1457       -15.4247        -5.7865        41.7154         0.8420       774.7979
          659.10828         -3.1744         2.9768         9.0126        10.0083       -42.2455       -17.9083        -1.9565        45.9264         0.8711       759.2372
          662.11791         -3.2602         3.2561         8.9657        10.0804       -35.6262       -15.4956        -3.1609        39.0418         0.8887       753.0483
          665.12754         -3.2503         3.3228         9.0885        10.2081       -29.9507       -15.4550        -5.0591        34.1452         0.8771       751.3609
          668.13717         -3.3575         3.0259         9.0494        10.1154       -28.3457       -16.8798        -2.8753        33.1880         0.8480       771.8308
          671.14679         -3.4305         3.1020         9.0511        10.1643       -21.1121       -13.0133         0.7826        24.8461         0.8304       778.3812
          674.15642         -3.5661         3.2099         9.0331        10.2283       -19.4384       -14.2812         1.1333        24.1673         0.8536       756.3842
          677.16605         -3.5103         3.0032         9.1425        10.2433       -18.5084       -16.7818        -1.5002        25.2674         0.8771       734.2279
          680.17567         -3.6538         2.8024         9.1119        10.2093       -14.3832       -14.1658        -2.6316        20.5972         0.8827       718.7428
          683.18530         -3.5072         2.6293         9.0318        10.0393       -11.0498       -11.3545         0.6987        16.4325         0.9063       708.3819
          686.19493         -3.5668         2.6243         8.9679        10.0016        -6.5441        -8.7233         3.5559        12.9055         0.8771       723.4437
          689.20456         -3.6408         2.3901         8.9689         9.9704        -6.5884        -1.7055         4.9093         8.5243         0.8595       732.3094
          692.21418         -3.4548         2.2720         8.9513         9.8602        -3.4090        -2.2714         0.7928         5.5048         0.8711       727.6250
          695.22381         -3.4801         2.3137         9.0783         9.9940         0.7345        -0.4910        -3.2668         3.8011         0.9003       712.3852
          698.23344         -3.5891         2.2426         9.0797        10.0176        -0.2531         2.9119        -4.9356         6.0602         0.8947       699.0347
          701.24306         -3.3088         1.9941         9.0725         9.8608         0.3229         6.1958        -5.9331         9.0777         0.8595       716.9783
          704.25269         -3.4278         1.7183         8.8595         9.6537         1.4563         8.8630        -4.6414        11.0098         0.8827       704.7218
