Time                         Bx(nT)         By(nT)         Bz(nT)         Btot(km/s)    Vx(km/s)        Vy(km/s)      Vz(km/s)       Vtot(km/s)      Density(cm^-3)Temp(K)
2007-06-08/06:33:13         10.3020        -7.0515        30.3730        32.8386      -131.7106        95.8973       -18.2272       163.9397        31.3066       123.2526
2007-06-08/06:33:16         12.3208        -8.4848        27.7565        31.5312      -115.7829       109.1378       -14.7917       159.7984        32.1917       118.3084
2007-06-08/06:33:19          9.8665        -6.8508        30.5126        32.7917      -114.4013        99.2431       -18.6830       152.5972        33.4640       121.9376
2007-06-08/06:33:22          9.2173       -10.7810        28.8357        32.1354      -115.2656       121.2207        -8.2985       167.4798        33.4627       121.7680
2007-06-08/06:33:25          5.8819        -7.4233        29.7737        31.2438      -105.7004       114.7621       -21.1861       157.4540        31.4344       124.0077
2007-06-08/06:33:28          8.4219        -7.5932        27.8560        30.0756      -113.6651       107.7680       -18.3055       157.6984        34.9606       115.3898
2007-06-08/06:33:31          8.3457        -8.7040        31.6122        33.8340      -106.6603       100.5462       -21.5002       148.1494        33.4981       109.3501
2007-06-08/06:33:34          9.8240        -5.5837        29.3973        31.4943      -115.4746       101.5462       -18.0447       154.8277        31.2060       118.9446
2007-06-08/06:33:37          9.0763        -8.5683        29.8190        32.3260      -107.8800        97.2964       -29.6732       148.2740        35.7705       113.2691
2007-06-08/06:33:40          7.9753        -6.5815        30.3950        32.1058      -117.4526        99.5793       -22.0374       155.5532        32.6633       115.3845
2007-06-08/06:33:43         11.1212        -9.2305        30.3740        33.6373      -118.6276       113.1880       -18.4242       164.9954        31.5602       118.1807
2007-06-08/06:33:46          8.0354        -4.1128        30.3684        31.6815      -123.2968        99.2961       -20.7663       159.6654        30.8927       116.7554
2007-06-08/06:33:49         10.2616        -8.2213        28.1696        31.0872      -115.8257       108.8720       -21.6375       160.4272        31.4254       119.5117
2007-06-08/06:33:52          6.5134        -2.3520        28.7194        29.5425      -121.7245       103.3753       -20.5997       161.0206        30.7262       120.7780
2007-06-08/06:33:55          7.9747        -6.3495        26.2435        28.1537      -114.8994       115.5857       -20.9808       164.3232        31.6891       121.2918
2007-06-08/06:33:58          7.1706        -2.0764        28.7928        29.7448      -116.7531       102.9711       -27.5746       158.0970        32.9874       122.5411
