Time                         Bx(nT)         By(nT)         Bz(nT)         Btot(km/s)    Vx(km/s)        Vy(km/s)      Vz(km/s)       Vtot(km/s)      Density(cm^-3)Temp(eV)
          261.82494          2.9151        -3.0911        12.3402        13.0512        24.0169      -102.1309       -45.4652       114.4408         0.9178      2031.9670
          264.83442          2.0609        -2.7183        12.3098        12.7738        28.0799      -103.0654       -40.9943       114.4223         0.9178      1999.7749
          267.84391          2.5445        -3.4084        11.7230        12.4708        39.0122      -104.1829       -48.3644       122.2365         0.9178      2017.8475
          270.85339          4.0143        -2.9392        11.5845        12.6077        63.7143      -101.7529       -57.7932       133.5665         0.9178      2018.2085
          273.86287          4.6561        -4.3727        10.6134        12.3872        81.7614      -104.6336       -53.7361       143.3594         0.9178      2098.3521
          276.87235          6.5777        -4.1829         9.4607        12.2584        87.8211      -102.1680       -44.7684       142.0944         0.8887      2096.6302
          279.88183          5.5737        -4.1718        10.0405        12.2181        84.2729       -91.0895       -31.8159       128.1698         0.8887      2115.7631
          282.89131          2.5385        -5.1866         9.9171        11.4758        77.2335       -75.6741       -29.9427       112.5044         0.9178      2054.3301
          285.90080         -0.3919        -5.6537         9.4424        11.0126        57.6380       -52.9613       -51.4475        97.3141         0.9178      2046.6483
          288.91028          1.7566        -1.5158        10.8274        11.0732        42.9669       -38.1215       -74.7633        94.3418         0.9761      1897.7311
          291.91976          0.7266         1.5912        10.8707        11.0105        49.2504       -28.3699       -66.7262        88.2876         0.9470      1951.8548
          294.92924         -1.4471         1.6845        10.6855        10.9138        61.7538       -14.6696       -50.6624        82.3291         0.9761      1921.9932
          297.93873         -2.8512         0.0056        10.6712        11.0456        73.6548        -4.2573       -40.2603        84.2808         0.9470      1959.4175
          300.94821         -2.3388        -1.1905         9.9167        10.2581        84.7412         8.3276       -32.8965        92.6874         0.9761      1869.0819
          303.95769         -1.1033        -3.7137         9.1750         9.9594        99.0084        15.3547       -24.9728       103.5882         0.9761      1936.6521
          306.96718          0.0949        -5.0242         8.5991         9.9597        95.6178        16.0505       -37.5041       104.0998         0.9761      1859.3205
          309.97666          0.0082        -4.4992         8.9732        10.0380        95.4102        20.8444       -33.0704       103.7188         0.9761      1847.5425
          312.98614          2.2124        -6.2431         8.5864        10.8442       112.8177        27.1905       -30.5636       120.2688         0.9470      1882.6081
          315.99562          4.0465        -6.7577         9.0462        11.9948       115.9173        36.6469       -40.3549       128.2663         0.9761      1735.5232
          319.00510          5.1574        -7.1938         9.5239        13.0021       115.1746        47.8598       -35.3843       129.7638         1.0635      1614.0003
          322.01458          6.2400        -7.0725        10.1462        13.8529       124.2120        48.9693       -24.6455       136.2785         1.0052      1683.1999
          325.02406          7.5860        -9.1939         8.6969        14.7550       129.8819        46.4074       -18.7620       139.4410         1.0926      1565.3492
          328.03354          8.7482        -8.7354         8.3697        14.9295       125.0323        54.3440       -23.3537       138.3330         1.2092      1438.1470
          331.04303          8.8388        -8.7125         8.2887        14.9243       125.9614        55.1418       -20.4844       139.0301         1.2383      1353.0338
          334.05251          9.8074        -9.9145         8.5307        16.3479       127.1996        61.8659       -10.6239       142.5034         1.1218      1443.8559
          337.06199          9.9901       -10.0435         8.9713        16.7677       130.8965        78.8409         7.3378       153.1462         1.1801      1387.9884
          340.07147          9.3511        -9.5164         9.3076        16.2676       127.8190        91.9420        21.3106       159.4242         1.2383      1397.7494
          343.08095          8.0867        -6.7646        10.5199        14.8937       122.8955        92.3487        27.5892       156.7045         1.1801      1479.9577
          346.09044          8.4759        -7.4011        11.5630        16.1344       125.1854        77.8428        21.1249       148.9662         1.2092      1384.1993
          349.09992          7.7024        -9.0912        12.5370        17.2961       121.2680        78.0469        15.7256       145.0907         1.3257      1251.7987
          352.10940          6.9972        -9.8884        13.2065        17.9207       115.8321        76.4616        20.8206       140.8053         1.2966      1200.8911
          355.11888          7.4562       -11.4069        12.6040        18.5627       106.9736        81.4166        31.8762       138.2520         1.3840      1116.1772
          358.12837          7.4937       -11.0440        12.3382        18.1757       106.0789        85.5598        30.2638       139.6232         1.3549      1135.2442
          361.13785          7.0648       -10.5529        13.7058        18.6849       100.8669        83.2611        33.2299       135.1213         1.4132      1082.2390
          364.14733          6.5578       -11.3153        13.5997        18.8678        92.1668        82.7172        40.2948       130.3161         1.4132      1064.7804
          367.15681          7.3198       -11.1250        13.8000        19.1777        86.6075        77.5068        43.6098       124.1556         1.4132      1054.8097
          370.16630          6.9769       -10.5215        14.4558        19.1925        77.4363        77.6654        42.9149       117.8861         1.4132      1054.3099
          373.17578          6.5963       -10.4822        14.9128        19.3850        63.8353        75.4127        41.8734       107.3552         1.3840      1043.1662
          376.18526          6.2908       -10.8023        15.2803        19.7421        53.5356        74.9330        42.8161       101.7263         1.3549      1061.0044
          379.19474          6.0038       -11.0422        15.3970        19.8757        40.3554        75.6625        48.8502        99.0886         1.3840      1029.5612
          382.20422          6.9796        -9.8229        15.9851        20.0182        29.2536        73.0254        53.7356        95.2796         1.4714      1051.3652
          385.21371          7.0936        -8.5262        16.8789        20.1968        26.3246        68.9724        52.8064        90.7761         1.4423       995.0096
          388.22319          6.8566        -9.0427        16.3744        19.9224        28.1802        70.7901        51.3017        91.9941         1.5297      1005.5137
