Time                         Bx(nT)         By(nT)         Bz(nT)         Btot(km/s)    Vx(km/s)        Vy(km/s)      Vz(km/s)       Vtot(km/s)      Density(cm^-3)Temp(K)
2008-04-15/06:03:51         -0.9025         0.1619         8.9967         9.0433       -56.6345       -35.6127        30.0313        73.3322         0.9178       819.2299
2008-04-15/06:03:54         -1.1211         0.8083         9.3885         9.4896       -62.0031       -50.0225        32.6124        86.0825         0.8595       841.3462
2008-04-15/06:03:57         -1.1040         0.6864         9.6995         9.7863       -57.4788       -58.1447        27.7798        86.3500         0.9470       793.4839
2008-04-15/06:04:00         -1.0271         0.5138         9.6506         9.7187       -64.9007       -48.1122        32.7162        87.1621         0.8887       809.0412
2008-04-15/06:04:03         -0.9061         0.7386         9.6687         9.7391       -59.0362       -41.1802        33.2324        79.2810         0.9470       770.4761
2008-04-15/06:04:06         -1.1952         0.8401         9.4750         9.5869       -58.7872       -58.0679        34.1105        89.3944         0.9470       765.0971
2008-04-15/06:04:09         -1.0548         0.7783         9.2355         9.3281       -61.9519       -60.4264        42.7576        96.5277         0.8887       787.4998
2008-04-15/06:04:12         -1.3498         0.8113         8.8110         8.9507       -57.0093       -59.6873        37.8314        90.7956         0.9178       806.2012
2008-04-15/06:04:15         -1.4749         1.3715         8.5980         8.8307       -49.5610       -60.7343        46.8713        91.3338         0.8887       799.1421
2008-04-15/06:04:19         -1.8161         1.3362         8.4226         8.7192       -45.4655       -59.4607        50.7462        90.4315         0.9178       792.9544
2008-04-15/06:04:22         -1.9389         1.3854         8.2967         8.6321       -46.0450       -60.4200        49.8729        90.8737         0.9178       820.1041
2008-04-15/06:04:25         -1.8751         1.4749         8.0296         8.3765       -48.2300       -64.4011        45.1980        92.2849         0.9178       809.7985
2008-04-15/06:04:28         -2.2542         1.8147         7.7448         8.2678       -43.9479       -62.0790        48.4578        90.1853         0.9178       809.3500
2008-04-15/06:04:31         -2.2858         1.4900         7.2613         7.7571       -54.7651       -53.3458        48.9204        90.7645         0.9178       799.4509
2008-04-15/06:04:34         -2.6268         1.6914         7.3444         7.9813       -44.3495       -58.1089        48.6472        87.8071         0.9178       779.1974
2008-04-15/06:04:37         -3.2252         1.8505         7.3086         8.2001       -49.6864       -50.7697        53.2516        88.7808         0.8595       820.7125
2008-04-15/06:04:40         -3.6998         2.4375         7.3212         8.5574       -29.6106       -56.9961        51.2497        82.1698         0.9178       785.4820
2008-04-15/06:04:43         -4.1422         2.3151         7.2447         8.6605       -36.8396       -61.3535        46.7261        85.4678         0.9178       762.6129
2008-04-15/06:04:46         -4.5201         2.5209         7.3327         8.9753       -23.6499       -55.8276        54.3236        81.4069         0.9178       760.7502
2008-04-15/06:04:49         -5.2635         2.5857         7.3561         9.4076       -18.1273       -47.2707        50.9160        71.8022         0.8887       764.5313
2008-04-15/06:04:52         -5.5770         2.4614         7.5597         9.7114        -8.8181       -50.5462        49.3962        71.2226         0.8887       751.9482
2008-04-15/06:04:55         -5.8382         2.1181         7.5358         9.7652        -3.9079       -39.5745        60.6015        72.4842         0.8304       834.4148
2008-04-15/06:04:58         -6.1562         1.8373         7.5594         9.9206        -5.3965       -38.8983        52.0532        65.2053         0.8887       764.4813
2008-04-15/06:05:01         -6.1936         1.5400         7.6060         9.9289         3.1265       -37.6187        55.0060        66.7128         0.8304       817.9416
2008-04-15/06:05:04         -6.3092         1.3848         7.0512         9.5626        -5.0160       -29.8674        47.9633        56.7248         0.8304       803.9930
2008-04-15/06:05:07         -6.4132         1.1305         6.5808         9.2582        -4.2136       -18.8785        42.2977        46.5107         0.8304       807.5762
2008-04-15/06:05:10         -6.3841         1.0910         6.6919         9.3128        -4.2552        -9.8252        41.0763        42.4489         0.8304       774.7214
2008-04-15/06:05:13         -6.2910         0.8211         6.8471         9.3346        -3.5583         2.1174        39.6783        39.8937         0.8013       830.3601
2008-04-15/06:05:16         -6.1353         0.5803         7.0245         9.3446        -2.2558         7.4255        44.7306        45.3988         0.8013       826.3404
2008-04-15/06:05:19         -5.8328         0.0945         7.1398         9.2199        -0.3465         8.8870        42.2954        43.2203         0.7721       835.2574
2008-04-15/06:05:22         -5.5179        -0.0452         7.4982         9.3098        -2.0195        11.3423        41.9953        43.5469         0.8013       824.7528
2008-04-15/06:05:25         -5.2782        -0.0221         7.9269         9.5234        -8.6586        16.9135        36.3098        40.9809         0.8013       815.6873
2008-04-15/06:05:28         -4.9690        -0.4956         7.9682         9.4036        -6.6147        24.6137        35.9946        44.1044         0.8304       786.9450
2008-04-15/06:05:31         -4.5376        -0.5673         8.1645         9.3579        -4.5050        23.7094        32.2325        40.2662         0.8013       800.3903
2008-04-15/06:05:34         -4.3443        -0.7392         8.0805         9.2041         4.1131        26.1506        25.2957        36.6148         0.8013       827.0503
2008-04-15/06:05:37         -3.6842        -0.8439         8.0313         8.8762        -8.0300        28.4263        21.5849        36.5848         0.8304       789.5837
2008-04-15/06:05:40         -3.1422        -0.7983         8.0232         8.6535        -2.0657        35.0716        14.3090        37.9346         0.8304       851.6170
2008-04-15/06:05:43         -2.9148        -0.6917         8.0426         8.5824        -9.8391        37.5471        11.7660        40.5590         0.8304       846.9708
2008-04-15/06:05:46         -2.6287        -0.4892         8.1294         8.5578       -17.4674        41.4804         6.9938        45.5483         0.8887       780.4071
2008-04-15/06:05:49         -2.2388        -0.5580         8.0921         8.4146       -26.7501        42.5949        -0.0443        50.2981         0.9178       807.6687
2008-04-15/06:05:52         -1.6287        -0.1234         8.0783         8.2418       -31.1885        36.3914        -1.7151        47.9583         0.9178       779.4721
2008-04-15/06:05:55         -1.3095         0.0395         8.1039         8.2091       -33.1911        47.0714         2.8504        57.6670         0.8887       783.4613
2008-04-15/06:05:58         -1.1537         0.2476         8.1374         8.2225       -37.7486        38.3643        -0.2541        53.8223         0.9178       797.1352
2008-04-15/06:06:01         -0.8287         0.5552         8.0725         8.1338       -37.3105        42.7058        -4.7359        56.9059         0.8887       796.4405
2008-04-15/06:06:04         -0.8624         1.0099         8.0529         8.1617       -43.5927        35.1737         3.8353        56.1447         0.8595       840.2061
2008-04-15/06:06:07         -0.7751         1.4617         8.2473         8.4116       -46.5845        30.5884        13.2284        57.2778         0.8887       806.5341
2008-04-15/06:06:10         -0.9496         1.7829         8.3077         8.5498       -45.4547        32.9391         8.2598        56.7392         0.8887       796.1747
2008-04-15/06:06:13         -1.1529         2.0974         8.1686         8.5121       -52.3754        12.5385         9.7544        54.7316         0.9178       790.8333
2008-04-15/06:06:16         -1.3588         2.7425         7.9884         8.5546       -44.4600         5.6642        10.0677        45.9362         0.8887       793.8809
2008-04-15/06:06:19         -1.6596         3.1851         7.9576         8.7306       -43.8434         3.2606        14.0450        46.1534         0.8887       804.9352
2008-04-15/06:06:22         -1.9751         3.4594         7.8744         8.8247       -28.7323        -7.8531        17.8830        34.7422         0.8887       798.4284
2008-04-15/06:06:25         -2.1419         3.4574         7.4366         8.4761       -35.5043        -7.6681        22.6780        42.8211         0.8887       804.0514
2008-04-15/06:06:28         -2.2831         3.6788         7.3145         8.4999       -33.8801       -17.4230        19.3109        42.7122         0.8887       831.3776
2008-04-15/06:06:31         -2.2252         3.7120         7.0873         8.3042       -28.1604       -15.7923        20.0329        37.9963         0.9178       797.1067
2008-04-15/06:06:34         -2.4901         3.6267         7.0410         8.3024       -26.3165       -23.4942        11.1433        36.9961         0.8887       817.7421
2008-04-15/06:06:37         -2.4099         3.7655         6.9945         8.3012       -20.5668       -30.0098        17.0221        40.1663         0.9178       789.7817
2008-04-15/06:06:40         -2.7591         3.7662         7.0354         8.4435       -13.4382       -23.0258        21.7347        34.3972         0.9178       783.6211
2008-04-15/06:06:43         -3.0173         3.7120         7.0563         8.5250       -17.3083       -30.4397        18.9396        39.8103         0.8887       809.6617
2008-04-15/06:06:46         -3.3156         3.5252         7.0439         8.5462       -10.2323       -40.2598        17.4703        45.0639         0.8595       803.5535
2008-04-15/06:06:49         -3.3142         3.4877         6.9993         8.4934        -6.5213       -31.6060        28.0086        42.7311         0.9178       793.7612
2008-04-15/06:06:52         -3.6616         3.4013         6.8533         8.4820        -2.4634       -33.7206        26.5508        42.9894         0.8595       805.0954
2008-04-15/06:06:55         -3.4924         3.0305         6.8224         8.2418        -5.0248       -32.5379        25.0977        41.3988         0.8595       806.6475
2008-04-15/06:06:58         -3.6162         2.8303         6.5782         8.0225         0.9448       -29.7867        26.5525        39.9146         0.8887       822.4000
2008-04-15/06:07:01         -3.8605         3.0826         6.6244         8.2637        -2.9253       -24.5296        25.3929        35.4268         0.8304       839.4426
2008-04-15/06:07:04         -4.1062         2.7144         6.6674         8.2875        -3.4960       -19.7727        22.1388        29.8882         0.8595       805.3460
2008-04-15/06:07:07         -3.9990         2.5913         6.6797         8.2052        12.7191        -8.1526        22.5416        27.1361         0.8304       806.2979
2008-04-15/06:07:10         -4.2209         2.3413         6.7637         8.3093        17.1655        -5.9355        20.9381        27.7180         0.8595       783.8670
2008-04-15/06:07:13         -4.2171         2.4156         6.7455         8.3139        10.6112        -8.5692        19.0125        23.3988         0.8304       779.4885
2008-04-15/06:07:16         -4.3010         1.9772         6.5308         8.0660        20.5338         3.8543        19.9577        28.8930         0.8304       825.1741
2008-04-15/06:07:19         -3.9888         1.5968         6.5769         7.8559        19.2415         5.2599        16.9011        26.1448         0.8887       773.3841
2008-04-15/06:07:22         -3.8458         1.7087         6.7772         7.9775        25.7459        13.3996        18.5257        34.4326         0.8304       812.7343
2008-04-15/06:07:25         -3.6839         1.5328         6.8395         7.9183        28.4476        10.1862        21.0998        36.8541         0.8304       810.0527
2008-04-15/06:07:28         -3.9260         1.6753         6.9789         8.1808        20.8127        22.2101        21.7200        37.3927         0.8013       824.8941
2008-04-15/06:07:31         -3.9028         1.6521         7.1114         8.2785        26.9375         8.4510        18.1918        33.5856         0.8304       810.1632
2008-04-15/06:07:34         -3.8488         1.8065         7.1801         8.3445        23.1331        22.8885        25.1935        41.1550         0.8304       822.3793
2008-04-15/06:07:37         -3.5063         1.6169         7.3142         8.2708        19.8028        19.0728        20.4457        34.2630         0.8304       815.6440
2008-04-15/06:07:40         -3.5027         1.3148         7.3029         8.2055        11.9707        16.9572        16.7269        26.6577         0.8304       813.6599
2008-04-15/06:07:43         -3.4658         1.4847         7.3803         8.2876        13.0655        16.0902        16.8183        26.6919         0.8013       832.3298
2008-04-15/06:07:46         -3.5997         1.5324         7.4794         8.4409        10.0472        17.7307        14.5319        25.0300         0.8013       821.6309
2008-04-15/06:07:49         -3.4672         1.3487         7.4611         8.3372         2.2340        16.7530        12.4910        21.0162         0.8595       805.0303
