Time                         Bx(nT)         By(nT)         Bz(nT)         Btot(km/s)    Vx(km/s)        Vy(km/s)      Vz(km/s)       Vtot(km/s)      Density(cm^-3)Temp(eV)
          252.65969          2.1667        -4.1764        13.5790        14.3710      -469.3235       115.4294       119.1128       497.9466         3.7866       150.1794
          255.66754          0.5131        -1.8354        12.3782        12.5240      -475.1174       120.9222        97.1655       499.8991         3.6128       168.5678
          258.67540          0.4968        -2.0895        13.0175        13.1934      -473.2309       116.9132        85.9623       494.9843         3.4649       170.9201
          261.68325          0.6183        -2.7058        12.9458        13.2400      -472.0350       116.4783        86.7067       493.8680         3.4991       163.5020
          264.69110          0.4559        -2.3806        12.5904        12.8216      -474.2042       119.0119        82.6671       495.8610         3.6842       162.4291
          267.69896         -1.5218        -1.3198        14.2284        14.3703      -469.3861       120.4385        76.0593       490.5332         3.4352       168.2316
          270.70681         -1.8730        -1.2788        14.8429        15.0152      -461.3189       127.2354        76.9858       484.7971         3.0868       177.3253
          273.71466          2.1563         2.4509        15.0202        15.3709      -464.9452       125.5997       119.6176       498.1783         2.9847       195.6928
          276.72252          3.0045         2.3321        15.6193        16.0757      -468.2758        99.0456       169.7444       507.9458         3.0043       209.4625
          279.73037          4.8590         2.6305        15.5306        16.4842      -453.0346        81.0156       156.6255       486.1881         3.0260       200.2484
          282.73822          3.0784         1.0686        16.6313        16.9475      -436.7441        73.9686       146.4853       466.5719         3.0952       205.4660
          285.74608         -0.2262        -2.2266        16.0240        16.1796      -440.4413        67.2968       155.3991       471.9612         3.3019       191.1349
          288.75393          0.8235        -3.2712        15.5790        15.9401      -444.5945        56.6707       163.1759       476.9802         3.1729       186.8272
          291.76178          0.1242        -5.5904        13.8352        14.9225      -437.9576        56.8699       163.3295       470.8795         3.3516       180.3408
          294.76963          4.2453        -5.7692        13.2748        15.0840      -423.9655        48.9882       163.0072       457.0730         3.6925       169.1883
          297.77749          5.0870        -4.3041        12.9136        14.5315      -421.7033        50.0432       179.8642       461.6919         3.9755       155.2506
          300.78535          1.0718        -5.7021        11.2420        12.6509      -420.3887        58.8968       189.3057       465.1879         3.8475       157.4505
          303.79320          5.5109        -4.4893        11.2079        13.2718      -415.1379        33.6037       182.3515       454.6680         3.6849       156.1772
          306.80105          5.8101        -3.7818        11.5006        13.4284      -412.9915        34.3735       175.6180       450.1616         3.6471       155.6144
          309.80890          5.8307        -2.6127        11.9342        13.5369      -418.9615        40.6904       166.3960       452.6421         3.7006       157.5383
          312.81675          4.9581        -6.7027        10.3621        13.2997      -421.9670        38.9829       172.3704       457.6204         3.1344       165.6566
          315.82461          5.7655        -2.2396        10.9929        12.6135      -414.6042        37.2192       173.1065       451.0140         2.7696       169.8006
          318.83247          6.2835        -0.4548        11.5636        13.1684      -403.6390        44.9911       169.8173       440.5459         2.2077       214.5958
          321.84032          3.6330        -2.8280        11.7952        12.6619      -410.1489        51.4915       185.9216       453.4511         1.4917       265.3338
          324.84817          4.4287        -0.4729        11.9442        12.7475      -419.6600        57.1752       179.9645       460.2491         1.7142       251.6336
          327.85602          4.8911        -2.1761         9.7495        11.1226      -435.2537        37.8066       187.8454       475.9370         1.3057       325.6763
          330.86387          7.0455         0.4562         8.6589        11.1724      -444.6812        44.6657       159.2487       476.5750         0.9986       440.8233
          333.87173          6.5477        -1.3294        10.3882        12.3513      -439.8422        90.4727       127.5284       466.8801         0.9266       470.8923
          336.87958          5.9885        -5.2538        10.2741        13.0008      -438.5477        95.3278       128.8525       466.9936         0.9776       428.0285
          339.88743          5.2210        -8.3747         7.7029        12.5192      -453.9677        98.0596       105.0182       476.6301         1.1200       387.5788
          342.89529          7.3126        -6.2573         7.4840        12.1917      -437.9182        78.8164       113.9444       462.4835         1.4921       320.9230
          345.90314          6.9777        -5.6155         8.2313        12.1645      -411.6091        41.5549       154.4191       441.9007         1.4956       307.7979
          348.91099          5.6752        -4.4995         8.7641        11.3694      -438.0399        50.8239       142.4387       463.6409         1.4599       322.6861
          351.91885          5.3854        -2.6978         5.1135         7.9012      -452.8180        74.0020       132.9723       478.0534         2.1569       241.3128
          354.92670          5.6853        -3.4066         8.6393        10.8888      -432.3947        72.0137       119.3704       454.6802         2.0006       263.8115
          357.93456          8.8487        -2.4583         8.2511        12.3460      -414.7422        63.5442       134.1200       440.5082         1.6162       291.0562
          360.94241          8.9462        -2.7629         8.4967        12.6437      -420.2632        65.1132       146.2505       450.0383         1.5194       317.8527
          363.95026          8.5856        -2.4968         8.2807        12.1867      -426.6949        72.1028       147.3336       458.0022         1.2295       401.5098
          366.95812          7.1919        -1.8661         8.1152        11.0029      -435.7391        85.7106       131.2163       463.4497         1.0787       477.8278
          369.96597          7.9565        -3.0990         7.6596        11.4708      -440.1730        93.6145       136.8868       470.9411         1.1071       483.0944
          372.97382          9.4753        -3.7488         6.7277        12.2105      -447.0814        97.5474       123.1440       474.1465         0.7937       585.6674
          375.98168          8.4666        -4.1209         8.1992        12.4857      -424.5155        92.3075       131.5975       453.9764         0.8755       550.2685
          378.98953          7.9328        -1.9394         8.6112        11.8678      -411.8241        98.0948       108.7613       437.5111         0.8455       589.2735
          381.99738          8.3041        -3.6581         5.7226        10.7279      -401.9311       105.3804        98.5694       427.2761         0.7328       686.7442
          385.00524          9.5047        -2.9323         4.7184        11.0091      -393.8582        94.2936       104.1160       418.2255         0.7528       710.5572
          388.01309         10.0857        -4.6358         3.7878        11.7286      -383.1842       102.7091       105.8110       411.0154         0.8196       659.0602
          391.02094         10.0989        -4.9180         7.7778        13.6626      -372.7310       107.9511       110.9216       403.9110         0.8042       629.3221
          394.02880         10.0218        -3.6193         7.3530        12.9461      -358.8720        96.3680        77.4390       379.7732         0.8346       631.1586
          397.03665          8.0476        -3.4649         6.9806        11.2026      -351.3197        98.7093        58.1628       369.5625         0.9011       656.9750
